LocalTimestamp,DataReliability,PacketNumber,PG
1758101964.945923,100,62983,5221
1758101964.985923,100,63001,5233
1758101965.025923,100,63001,5232
1758101965.0659232,100,63001,5240
1758101965.1059232,100,63021,5242
1758101965.1459231,100,63021,5268
1758101965.185923,100,63037,5277
1758101965.225923,100,63037,5272
1758101965.265923,100,63037,5255
1758101965.3059232,100,63052,5232
1758101965.3459232,100,63052,5221
1758101965.3859231,100,63069,5205
1758101965.425923,100,63069,5211
1758101965.465923,100,63069,5204
1758101965.505923,100,63086,5226
1758101965.5459232,100,63086,5231
1758101965.5859232,100,63102,5226
1758101965.6259232,100,63102,5239
1758101965.665923,100,63102,5243
1758101965.705923,100,63118,5232
1758101965.745923,100,63118,5214
1758101965.785923,100,63134,5186
1758101965.8259232,100,63134,5179
1758101965.8659232,100,63134,5176
1758101965.9059231,100,63151,5189
1758101965.945923,100,63151,5204
1758101965.985923,100,63167,5217
1758101966.025923,100,63167,5227
1758101966.0659232,100,63167,5253
1758101966.1059232,100,63183,5269
1758101966.1459231,100,63183,5250
1758101966.185923,100,63199,5247
1758101966.225923,100,63199,5238
1758101966.265923,100,63199,5233
1758101966.3059232,100,63221,5235
1758101966.3459232,100,63221,5238
1758101966.3859231,100,63221,5247
1758101966.425923,100,63221,5252
1758101966.465923,100,63238,5264
1758101966.505923,100,63238,5272
1758101966.5459232,100,63255,5265
1758101966.5859232,100,63255,5264
1758101966.6259232,100,63255,5249
1758101966.665923,100,63270,5230
1758101966.705923,100,63270,5218
1758101966.745923,100,63289,5226
1758101966.785923,100,63289,5248
1758101966.8259232,100,63289,5249
1758101966.8659232,100,63305,5241
1758101966.9059231,100,63305,5249
1758101966.945923,100,63322,5259
1758101966.985923,100,63322,5241
1758101967.025923,100,63322,5228
1758101967.0659232,100,63339,5199
1758101967.1059232,100,63339,5204
1758101967.1459231,100,63339,5202
1758101967.185923,100,63354,5223
1758101967.225923,100,63354,5216
1758101967.265923,100,63372,5246
1758101967.3059232,100,63372,5242
1758101967.3459232,100,63372,5255
